924,1618,362
76,341,80
12,83,20
42,71,6
124,552,46
88,507,48
61,177,17
847,997,64
312,1225,99
853,1041,247
202,123,50
1623,2345,364
2138,7968,102
37,133,55
245,586,21
3337,3260,262
186,1630,69
138,360,38
791,1453,43
583,939,36
427,916,129
200,297,100
94,201,52
42,561,36
1139,1053,423
30,45,37
176,302,16
1075,2843,66
534,1014,141
745,1768,161
1102,2066,176
358,1458,39
755,1163,177
36,203,2
202,1063,133
351,805,157
1707,3402,301
617,947,86
776,3246,114
378,678,120
854,1569,66
152,745,56
177,355,74
341,857,75
62,117,27
1494,2490,104
204,1266,126
66,679,28
291,930,35
388,869,67
25,81,8
785,1648,236
2156,5664,767
7,19,30
440,572,85
172,470,62
70,347,38
231,153,25
1610,1931,70
270,388,38
364,1042,24
341,353,32
27,95,17
822,1388,151
9,27,13
218,629,167
161,1298,67
107,1221,61
650,1458,79
49,508,36
104,229,68
67,1453,50
113,166,22
764,1068,178
1080,5130,138
173,501,86
637,1369,48
319,1907,140
844,3613,158
3722,5398,1829
1440,1660,182
71,552,43
32,40,28
224,504,81
1309,1060,143
56,214,45
1070,1035,121
899,1314,396
324,295,242
26,53,6
282,1197,149
113,340,65
1557,2970,399
1194,4686,137
132,675,76
203,288,76
130,276,73
299,633,81
193,559,45
452,582,228
3123,2902,1039
72,54,156
1027,1687,112
228,633,82
78,266,21
237,587,181
182,531,123
410,794,381
389,518,121
45,78,24
149,444,176
1071,1282,181
98,91,16
210,979,31
1076,1065,93
154,718,124
296,446,36
394,1203,173
852,2421,248
415,1066,93
1414,2352,274
978,4805,386
61,146,45
274,1637,101
41,157,11
870,2815,96
117,176,29
2241,2997,92
707,905,451
108,459,22
150,274,63
300,612,76
1066,2619,73
115,1038,173
1240,1924,770
8,108,45
2870,6093,83
293,395,101
803,1191,98
205,2596,37
9,20,107
455,1958,119
140,76,87
89,532,57
407,3225,378
226,438,111
2503,2653,555
117,193,89
99,220,26
1272,1558,107
377,1003,124
689,1372,110
425,1064,192
672,1117,95
352,679,77
410,965,123
759,780,155
1164,1381,137
281,782,66
223,596,50
136,702,30
954,1807,396
504,1033,126
1548,2844,157
229,984,74
1093,1499,60
262,674,30
5488,12533,240
164,276,280
219,2732,59
181,471,48
272,1617,358
123,182,17
346,1078,38
162,769,160
43,244,18
191,460,66
1155,2578,175
1236,2396,764
291,1526,103
1301,3134,227
83,263,14
39,262,53
38,600,44
371,1930,96
222,370,26
20,128,81
304,423,45
137,229,67
308,1211,20
527,708,429
449,1047,153
165,379,81
426,1401,158
300,405,35
1811,2320,98
403,865,114
1339,1224,399
214,625,58
542,3940,184
3251,4957,1003
501,1111,93
15,169,63
237,390,38
106,1334,97
76,854,124
281,370,72
186,150,120
45,633,77
46,545,40
139,192,41
135,365,92
792,1580,51
186,427,47
107,436,48
75,349,22
1334,1552,202
467,1032,32
198,497,40
422,1638,85
682,1183,41
168,289,72
623,873,768
543,1196,213
44,53,25
325,934,55
84,149,115
45,77,13
35,267,72
853,2317,72
75,462,78
1681,2097,236
254,2959,127
153,847,134
67,180,15
78,504,77
162,1114,164
313,469,31
196,628,71
87,640,119
185,272,29
70,195,80
220,323,94
185,754,87
217,576,364
123,170,28
226,414,53
3536,3461,905
338,633,28
62,432,91
157,207,80
251,644,112
395,843,259
419,526,57
221,354,72
384,587,14
541,657,87
217,998,206
750,2835,395
334,863,220
224,988,122
48,101,59
213,794,85
41,395,51
1059,1438,163
2976,3244,1083
3713,9132,293
122,152,20
327,1178,104
98,438,76
2131,3656,235
171,202,37
527,1922,54
98,150,32
1788,2755,251
337,1214,180
268,310,53
336,944,237
1298,1911,334
306,797,131
475,1221,232
284,227,106
97,485,87
72,429,28
303,578,65
240,156,18
599,729,50
56,250,60
117,778,47
1106,1340,82
508,714,145
214,470,102
105,242,42
79,337,65
201,509,30
227,620,454
190,2574,60
765,1400,55
241,1336,88
68,429,58
897,545,22
29,211,22
1124,2535,132
336,638,222
480,1341,100
413,1109,24
184,820,47
235,690,237
85,68,10
129,225,26
193,303,42
200,497,91
317,837,123
224,125,108
1255,1738,135
1017,1433,193
2771,4187,610
374,665,163
248,437,65
857,1797,94
1171,3967,195
106,375,17
1877,2489,478
323,342,60
69,484,105
263,1377,104
146,123,29
472,890,78
124,355,70
311,611,55
950,1359,30
280,242,47
64,239,19
265,809,100
1010,13347,261
989,1423,238
3,21,46
4308,4205,1361
45,416,47
100,175,36
89,627,93
249,586,134
831,2149,154
176,291,59
539,661,116
201,315,87
2331,3654,204
78,246,22
288,536,38
115,188,75
318,469,135
651,2770,176
1455,2141,137
140,376,55
85,434,42
206,764,84
688,1546,341
114,437,18
1578,1682,205
755,949,430
321,393,262
735,1148,50
187,164,67
710,1406,62
32,291,29
557,1300,187
95,955,166
318,670,114
491,1248,89
143,245,29
193,334,65
414,752,78
236,543,43
30,108,77
477,2641,64
400,429,22
136,733,58
327,946,60
267,535,24
1253,2260,83
43,191,25
513,1294,272
278,1029,97
76,691,68
253,221,109
293,565,101
139,546,54
1003,1438,213
211,543,44
442,1456,37
1888,3264,107
493,1112,45
617,854,220
453,755,42
214,1391,89
1053,1408,44
514,2628,171
513,602,97
940,1004,31
6,26,20
490,478,30
160,844,97
791,1187,419
2398,5155,996
97,414,37
1511,2925,401
1794,2716,118
162,644,215
496,2265,68
263,968,74
189,386,85
252,1663,156
98,346,6
107,779,83
153,489,54
544,847,174
306,376,177
1118,1901,90
793,1137,177
217,865,114
426,1010,150
465,1032,195
151,195,45
21,1764,200
1148,3885,233
2925,2330,1578
851,1243,159
635,1165,113
172,481,62
346,694,178
491,888,80
165,498,46
35,284,14
87,71,14
102,260,19
38,202,28
115,483,15
570,4674,111
298,520,37
995,2573,229
392,640,52
26,248,52
5591,6328,1406
242,425,74
603,1227,66
59,352,50
933,1769,111
552,868,110
67,209,47
483,917,108
130,394,30
242,1123,30
958,1377,68
377,1046,163
796,774,80
110,398,35
498,880,36
338,620,26
554,1496,174
133,458,47
82,273,28
504,784,65
114,1342,78
133,714,89
187,302,23
945,2157,181
176,1214,54
3129,2677,1243
43,612,82
139,576,99
215,245,59
183,214,99
183,912,77
531,784,61
434,610,101
1522,3779,133
571,1641,148
2211,3248,705
260,637,76
2277,9318,364
224,936,107
312,680,96
159,166,27
438,891,141
84,126,25
222,2190,180
118,477,67
436,555,157
121,634,97
22,55,16
111,232,54
483,1404,80
170,168,38
152,124,58
177,932,126
90,477,80
266,577,69
70,340,69
1881,2738,1177
1136,2302,387
91,283,25
228,405,26
73,456,69
843,1308,285
41,203,56
141,616,72
542,764,16
380,879,120
1878,3094,143
860,1383,220
6,6,20
495,575,206
176,413,76
443,987,39
349,1484,99
312,1086,83
267,1328,99
353,935,65
251,618,30
351,1155,88
472,490,107
3121,12515,400
228,1164,70
390,477,48
831,1769,59
325,1238,155
50,106,14
113,1284,57
1172,970,234
216,173,32
637,804,48
776,1835,66
173,513,104
31,49,29
100,244,73
2818,5478,159
3383,4648,704
1513,1283,173
423,1126,76
451,715,61
312,1578,117
251,501,175
401,482,67
865,3062,192
802,708,77
158,283,55
22,178,44
41,321,108
414,496,104
202,417,38
1105,2532,600
452,520,59
58,471,72
55,665,41
146,765,38
1208,1819,56
107,327,27
151,129,136
465,844,195
292,1166,94
288,657,136
35,134,88
860,1642,64
469,645,73
725,779,167
629,1060,145
213,254,29
109,1126,90
288,431,351
179,402,94
1277,1425,46
107,397,140
584,741,130
116,114,172
310,798,41
62,234,50
155,812,138
2307,3059,94
681,644,169
1610,1715,186
412,755,261
46,32,3
224,1735,110
217,731,92
527,703,109
234,974,41
217,975,35
508,1350,103
930,1762,132
286,328,214
558,617,90
398,700,46
1512,2929,164
106,638,63
89,460,31
338,656,136
93,531,92
783,1871,48
291,292,79
641,1015,45
9,37,21
928,833,58
217,707,47
530,1098,70
131,161,9
239,912,134
32,152,77
288,542,77
1034,1326,66
3417,3325,653
109,250,51
505,793,140
480,1087,59
197,946,109
240,365,106
71,43,10
486,1546,89
70,638,102
1816,8720,205
319,640,201
4105,7031,1578
727,867,40
397,610,67
144,215,29
150,407,128
1545,2641,210
762,652,203
21,62,67
56,300,59
661,925,38
3,232,0
80,225,22
911,805,234
4736,3809,1349
188,308,124
495,707,159
718,1307,122
180,432,74
144,403,10
2570,3312,979
946,3004,101
388,463,85
1108,1660,145
303,370,44
148,562,57
3051,2756,455
74,213,67
1655,1692,293
835,1311,21
3454,4028,1526
107,274,66
1336,1694,119
3176,4562,469
234,448,39
4,128,28
71,215,57
283,432,47
279,800,54
90,288,35
145,421,43
1135,1841,155
465,321,14
24,88,47
275,420,48
3524,4206,419
478,739,245
1753,1361,385
309,301,25
760,1013,573
137,249,26
157,506,54
549,1106,32
531,910,123
477,2005,79
143,415,102
307,788,214
32,137,68
489,760,162
353,783,24
253,477,52
309,258,53
135,506,66
40,394,150
644,833,92
10,87,33
2817,4194,1605
230,1373,41
1228,2039,292
656,829,21
43,150,69
30,373,81
1038,3290,132
2042,2151,108
210,1146,116
63,548,111
1716,2402,369
206,177,53
117,1268,88
1014,6627,302
373,1004,175
676,2482,194
4196,3946,1793
180,925,96
380,453,87
269,1185,174
5,45,0
138,715,129
119,411,40
73,552,81
133,677,18
1342,1790,63
148,947,53
269,1132,286
249,576,138
874,1411,104
54,277,50
383,875,88
1051,3017,69
79,105,63
954,1080,116
1458,3180,146
264,2613,60
365,901,297
70,604,50
154,362,118
260,357,63
547,1336,144
229,2008,45
115,1829,66
147,582,82
598,1253,169
7159,8062,1080
356,1392,132
394,526,27
115,82,42
155,307,221
58,396,76
299,1513,115
303,1008,114
435,891,60
341,580,25
419,1551,60
106,449,83
140,557,39
266,1116,190
92,305,46
253,349,44
3482,5878,174
196,238,99
152,294,112
252,454,203
118,1034,62
271,492,25
357,930,280
1515,3898,270
248,514,43
6,69,12
135,654,90
477,944,112
193,422,44
135,318,44
520,1663,141
175,549,12
64,224,39
109,223,69
315,741,108
43,677,141
246,809,47
663,435,35
867,1076,121
144,230,37
26,66,13
475,730,72
308,849,34
192,246,16
301,1212,52
148,776,133
36,140,28
433,1044,63
156,351,26
120,355,98
242,952,190
374,1326,273
526,3307,219
154,312,47
96,578,95
71,175,46
370,915,118
400,656,82
378,1261,70
47,304,30
681,1585,80
434,959,80
338,1096,103
10,64,68
398,843,155
261,750,192
61,216,74
86,234,65
629,597,72
386,529,85
59,129,82
703,2741,77
131,200,63
393,288,27
298,741,586
435,851,81
132,733,109
189,331,19
11,22,76
1466,2031,192
199,241,25
747,1729,331
144,487,94
186,637,34
498,710,187
165,430,83
252,3853,97
381,846,51
198,828,92
246,776,62
808,568,95
224,536,67
525,699,113
127,543,27
175,580,64
171,1131,56
164,930,149
157,892,101
381,1140,178
164,518,22
366,704,68
210,194,39
789,890,143
4485,3835,973
128,458,112
282,353,48
466,587,107
54,578,88
1658,3335,235
511,838,90
21,157,23
492,903,351
294,354,64
723,1415,164
112,610,111
218,574,101
2173,7909,132
60,187,26
132,207,46
3899,4648,953
46,95,50
11,118,110
192,274,24
767,978,127
8,104,47
1295,1384,175
3,90,47
115,353,22
80,724,233
54,87,22
94,384,37
1143,2420,475
1129,1459,40
115,132,13
4431,4445,1221
2791,4535,271
129,692,112
814,2228,137
201,883,236
35,444,65
223,720,28
286,449,38
2611,2421,987
277,526,46
529,806,139
103,761,105
473,1153,80
24,78,35
741,1022,58
414,731,92
249,260,121
22,252,59
132,205,54
735,1531,53
825,2048,160
