8.53,17.82,1113
8.34,17.95,175
7.6,17.97,488
8.11,17.73,710
8.16,18.38,685
8.1,18.08,125
8.58,18.48,277
8.69,20.08,427
8.02,18.43,303
8.35,18,22
7.17,16.78,262
8,16.85,45
8.47,18.33,157
8.41,17.99,55
8.47,17.77,86
8.38,18.11,104
8.53,18.19,244
8.11,17.42,64
8.54,18.37,53
8.57,17.23,192
8.28,17.79,160
8.38,17.43,62
8.34,18.06,95
8.93,14.66,76
8.17,17.52,76
8.2,17.9,340
8.46,17.87,41
8.95,18.44,51
9.07,11.51,31
8.35,18.05,204
8.37,17.93,194
8.25,17.83,37
8.55,17.87,32
8.37,18.07,135
8.66,17.87,104
8.34,17.5,237
8.45,17.84,54
7.87,17.89,68
8.38,15.24,52
8.61,18.03,177
7.54,17.66,105
8.47,18.05,120
8.02,16.69,11
8.37,17.68,66
8.05,20.03,101
8.49,17.99,45
8.55,16.22,71
8.71,12.53,7
9.36,17.04,6
7.64,16.59,45
8,17.79,321
8.31,17.14,23
8.89,16.51,47
8.42,17.92,40
8.9,17.73,30
8.29,17.49,110
8.21,12.56,10
8.51,15.97,94
10.41,12.18,24
8.18,17.89,293
8.45,18.07,93
8.53,18.29,28
8.34,17.71,49
8.01,17.22,6
8.36,17.62,38
8.12,17.47,13
8.06,17.52,17
8.31,18,67
8.21,16.88,22
8.18,18.11,17
8.15,17.73,29
8.05,17.7,17
8.08,17.81,29
8.03,17.5,30
8.09,13.49,18
8.25,16.13,175
8.39,16.98,14
9.71,14.17,39
9.18,14.71,1
12.03,18.35,9
10.73,14.28,9
9.24,16.71,9
8.53,17.63,22
8,16.92,12
8.15,17.58,3
8.55,17.58,8
8.15,16.21,52
8.88,17.18,5
8.7,17.25,15
8.34,17.6,17
8.25,17.27,22
8.18,15.33,31
8.35,17.59,16
8.31,17.91,131
9.27,16.61,18
8.52,17.2,9
9.87,9.87,1
8.68,16.95,6
8.43,16.43,5
9.84,8.81,1
10.65,12.31,3
8.27,17.04,18
8.4,17.98,10
8.18,17.67,2
8.14,16.92,4
8.24,17.48,6
8.35,17.19,3
8.63,17.42,11
9.08,17.79,14
8.38,17.22,3
8.85,11.63,2
8.51,17.64,1
8.21,17.52,56
